;;;;;;;;;;;
;;HOc2;LGOc6;;;HOc2;LGOc6;;;HOc2;LGOc6
42116,2291666667;22/4/15 5:30;1,845;578,75;;4/22/15 5:30;1,8457;579;;4/22/15 6:00;137;687
42116,25;22/4/15 6:00;1,8501;580;;4/22/15 6:00;1,8509;580,25;;4/22/15 6:30;128;16
42116,2708333333;22/4/15 6:30;1,8468;578,75;;4/22/15 6:30;1,8473;579,25;;4/22/15 7:00;207;15
42116,2916666667;22/4/15 7:00;1,8518;580,5;;4/22/15 7:00;1,8524;581;;4/22/15 7:30;1513;20
42116,3125;22/4/15 7:30;1,8558;581,5;;4/22/15 7:30;1,8565;582;;4/22/15 8:00;1006;300
42116,3333333333;22/4/15 8:00;1,8638;584;;4/22/15 8:00;1,8644;584,25;;4/22/15 8:30;2289;14
42116,3541666667;22/4/15 8:30;1,867;585;;4/22/15 8:30;1,8673;585,5;;4/22/15 9:00;4006;187
42116,375;22/4/15 9:00;1,8646;584,75;;4/22/15 9:00;1,8653;585;;4/22/15 9:30;2383;173
42116,3958333333;22/4/15 9:30;1,86;582,5;;4/22/15 9:30;1,8616;583,75;;4/22/15 10:00;7038;706
42116,4166666667;22/4/15 10:00;1,8734;587;;4/22/15 10:00;1,874;587,5;;4/22/15 10:30;3643;208
42116,4375;22/4/15 10:30;1,8772;588;;4/22/15 10:30;1,8777;588,5;;4/22/15 11:00;4600;387
42116,4583333333;22/4/15 11:00;1,8706;586;;4/22/15 11:00;1,871;586,5;;4/22/15 11:30;2709;226
42116,4791666667;22/4/15 11:30;1,8721;587;;4/22/15 11:30;1,8727;587,25;;4/22/15 12:00;2773;638
42116,5;22/4/15 12:00;1,8761;587,75;;4/22/15 12:00;1,8767;588,25;;4/22/15 12:30;2413;105
42116,5208333333;22/4/15 12:30;1,8727;586,25;;4/22/15 12:30;1,8733;586,75;;4/22/15 13:00;2655;257
42116,5416666667;22/4/15 13:00;1,8723;586,75;;4/22/15 13:00;1,873;587;;4/22/15 13:30;6334;206
42116,5625;22/4/15 13:30;1,8735;586,75;;4/22/15 13:30;1,8739;587,25;;4/22/15 14:00;1374;23
42116,5833333333;22/4/15 14:00;1,8737;587;;4/22/15 14:00;1,8741;587,25;;4/22/15 14:30;1111;38
42116,6041666667;22/4/15 14:30;1,8761;587,25;;4/22/15 14:30;1,8766;588;;4/22/15 15:00;524;24
42116,625;22/4/15 15:00;1,8781;587,75;;4/22/15 15:00;1,8785;588,5;;4/22/15 15:30;186;24
42116,6458333333;22/4/15 15:30;1,8759;587,5;;4/22/15 15:30;1,8765;588,25;;4/22/15 16:00;196;4
42116,6666666667;22/4/15 16:00;1,8721;585,75;;4/22/15 16:00;1,8728;586,75;;4/22/15 16:30;83;4
42116,6875;22/4/15 16:30;1,8581;585,5;;4/22/15 16:30;1,89;587,75;;4/22/15 17:30;44;4
42116,7083333333;22/4/15 17:00;1,8725;585,5;;4/22/15;1,8725;587,75;;4/22/15;1;4
42116,7291666667;22/4/15 17:30;1,8731;585,5;;4/22/15 17:30;1,8755;587,75;;4/22/15 19:00;7;4
42116,7708333333;22/4/15 18:30;1,8757;585,5;;4/22/15 18:30;1,8765;587,75;;4/22/15 19:30;12;4
42116,7916666667;22/4/15 19:00;1,875;585,5;;4/22/15 19:00;1,8757;587,75;;4/22/15 20:00;24;4
42116,8125;22/4/15 19:30;1,8726;585,5;;4/22/15 19:30;1,8734;587,75;;4/22/15 20:30;81;4
42116,8333333333;22/4/15 20:00;1,8778;585,5;;4/22/15 20:00;1,8792;587,75;;4/22/15 21:00;76;4
42116,8541666667;22/4/15 20:30;1,8766;587,75;;4/22/15 20:30;1,8773;588,5;;4/22/15 21:30;9;4
42116,875;22/4/15 21:00;1,8782;588;;4/22/15 21:00;1,8797;588,75;;4/22/15 22:00;9;4
42116,8958333333;22/4/15 21:30;1,8744;586,25;;4/22/15 21:30;1,8754;587,25;;4/22/15 22:30;17;4
42116,9166666667;22/4/15 22:00;1,8734;586,25;;4/22/15 22:00;1,8745;587;;4/22/15 23:00;12;4
42116,9375;22/4/15 22:30;1,872;585,5;;4/22/15 22:30;1,8724;586,5;;4/22/15 23:30;7;4
42116,9583333333;22/4/15 23:00;1,872;585,5;;4/22/15 23:00;1,8728;586,5;;4/23/15 0:00;12;4
42116,9791666667;22/4/15 23:30;1,8714;585,5;;4/22/15 23:30;1,8732;586,5;;4/23/15 0:30;11;4
42117;23/4/15 0:00;1,8728;586,25;;4/23/15 0:00;1,8739;586,75;;4/23/15 1:00;37;4
42117,0208333333;23/4/15 0:30;1,8744;586,75;;4/23/15 0:30;1,8753;587,5;;4/23/15 1:30;49;4
42117,0416666667;23/4/15 1:00;1,8737;587;;4/23/15 1:00;1,8748;587,5;;4/23/15 2:00;46;7
42117,0625;23/4/15 1:30;1,8713;585,75;;4/23/15 1:30;1,8725;586,25;;4/23/15 2:30;121;7
42117,0833333333;23/4/15 2:00;1,868;584,25;;4/23/15 2:00;1,8683;585;;4/23/15 3:00;99;7
42117,1041666667;23/4/15 2:30;1,8639;583,75;;4/23/15 2:30;1,8646;584;;4/23/15 3:30;481;1803
42117,125;23/4/15 3:00;1,8658;583,75;;4/23/15 3:00;1,8664;584,25;;4/23/15 4:00;257;28
42117,1458333333;23/4/15 3:30;1,8664;583,75;;4/23/15 3:30;1,8672;584;;4/23/15 4:30;534;17
42117,1666666667;23/4/15 4:00;1,8669;584;;4/23/15 4:00;1,868;584,5;;4/23/15 5:00;125;17
42117,1875;23/4/15 4:30;1,8699;584,75;;4/23/15 4:30;1,8709;585,25;;4/23/15 5:30;99;21
42117,2083333333;23/4/15 5:00;1,8691;584,5;;4/23/15 5:00;1,8706;585;;4/23/15 6:00;146;38
42117,2291666667;23/4/15 5:30;1,8706;584,75;;4/23/15 5:30;1,8714;585,5;;4/23/15 6:30;100;248
42117,25;23/4/15 6:00;1,8687;584,25;;4/23/15 6:00;1,8693;584,75;;4/23/15 7:00;617;101
42117,2708333333;23/4/15 6:30;1,869;584,5;;4/23/15 6:30;1,8697;585;;4/23/15 7:30;3369;238
42117,2916666667;23/4/15 7:00;1,8827;588,75;;4/23/15 7:00;1,8834;589,25;;4/23/15 8:00;2181;77
42117,3125;23/4/15 7:30;1,886;589,5;;4/23/15 7:30;1,8865;590;;4/23/15 8:30;5695;357
42117,3333333333;23/4/15 8:00;1,8929;591,25;;4/23/15 8:00;1,8935;591,75;;4/23/15 9:00;7022;323
42117,3541666667;23/4/15 8:30;1,8989;592,5;;4/23/15 8:30;1,8994;593;;4/23/15 9:30;4337;340
42117,375;23/4/15 9:00;1,9157;597,25;;4/23/15 9:00;1,9162;597,75;;4/23/15 10:00;5844;686
42117,3958333333;23/4/15 9:30;1,92;598;;4/23/15 9:30;1,9204;598,25;;4/23/15 10:30;4316;1081
42117,4166666667;23/4/15 10:00;1,9208;598,5;;4/23/15 10:00;1,9213;599;;4/23/15 11:00;4579;108
42117,4375;23/4/15 10:30;1,9294;600,75;;4/23/15 10:30;1,9298;601;;4/23/15 11:30;3532;161
42117,4583333333;23/4/15 11:00;1,9272;600;;4/23/15 11:00;1,9276;600,5;;4/23/15 12:00;3376;60
42117,4791666667;23/4/15 11:30;1,9226;599,25;;4/23/15 11:30;1,923;599,75;;4/23/15 12:30;8231;85
42117,5;23/4/15 12:00;1,9289;601;;4/23/15 12:00;1,9293;601,5;;4/23/15 13:00;3157;15
42117,5208333333;23/4/15 12:30;1,9332;601,75;;4/23/15 12:30;1,9336;602,5;;4/23/15 13:30;8564;114
42117,5416666667;23/4/15 13:00;1,9272;600,75;;4/23/15 13:00;1,9277;601,25;;4/23/15 14:00;3702;19
42117,5625;23/4/15 13:30;1,9261;600,75;;4/23/15 13:30;1,9265;601;;4/23/15 14:30;1708;19
42117,5833333333;23/4/15 14:00;1,9286;601,25;;4/23/15 14:00;1,929;601,75;;4/23/15 15:00;506;12
42117,6041666667;23/4/15 14:30;1,9271;601;;4/23/15 14:30;1,9275;601,5;;4/23/15 15:30;275;2
42117,625;23/4/15 15:00;1,9266;600,25;;4/23/15 15:00;1,927;601;;4/23/15 16:00;86;2
42117,6458333333;23/4/15 15:30;1,9257;600;;4/23/15 15:30;1,926;600,75;;4/23/15 16:30;21;2
42117,6666666667;23/4/15 16:00;1,9239;599,25;;4/23/15 16:00;1,925;600,25;;4/23/15 17:00;21;2
42117,6875;23/4/15 16:30;1,91;600;;4/23/15 16:30;1,9474;601,5;;4/23/15 17:30;32;2
42117,7083333333;23/4/15 17:00;1,927;600;;4/23/15;1,927;601,5;;4/23/15;7;2
42117,7291666667;23/4/15 17:30;1,9268;600;;4/23/15 17:30;1,927;601,5;;4/23/15 19:00;15;2
42117,7708333333;23/4/15 18:30;1,9271;600;;4/23/15 18:30;1,9278;601,5;;4/23/15 19:30;99;2
42117,7916666667;23/4/15 19:00;1,9262;600;;4/23/15 19:00;1,9264;601,5;;4/23/15 20:00;33;2
42117,8125;23/4/15 19:30;1,9228;600;;4/23/15 19:30;1,9236;601,5;;4/23/15 20:30;37;2
42117,8333333333;23/4/15 20:00;1,923;600;;4/23/15 20:00;1,924;601,5;;4/23/15 21:00;3;2
42117,8541666667;23/4/15 20:30;1,9228;599;;4/23/15 20:30;1,9238;600;;4/23/15 21:30;35;2
42117,875;23/4/15 21:00;1,9217;598,5;;4/23/15 21:00;1,9225;599,25;;4/23/15 22:00;33;2
42117,8958333333;23/4/15 21:30;1,9203;598,25;;4/23/15 21:30;1,9212;599;;4/23/15 22:30;11;2
42117,9166666667;23/4/15 22:00;1,9207;598,25;;4/23/15 22:00;1,9216;599;;4/23/15 23:00;19;2
42117,9375;23/4/15 22:30;1,9201;598;;4/23/15 22:30;1,9211;599;;4/23/15 23:30;45;2
42117,9583333333;23/4/15 23:00;1,9194;597,75;;4/23/15 23:00;1,9195;598,25;;4/24/15 0:00;4;2
42117,9791666667;23/4/15 23:30;1,919;597,5;;4/23/15 23:30;1,9201;598,75;;4/24/15 0:30;7;2
42118;24/4/15 0:00;1,9187;597,75;;4/24/15 0:00;1,92;598,5;;4/24/15 1:00;5;2
42118,0208333333;24/4/15 0:30;1,9186;597,75;;4/24/15 0:30;1,9197;598,25;;4/24/15 1:30;54;2
42118,0416666667;24/4/15 1:00;1,919;597,75;;4/24/15 1:00;1,92;598,5;;4/24/15 2:00;135;3
42118,0625;24/4/15 1:30;1,9185;597,75;;4/24/15 1:30;1,9195;598,25;;4/24/15 2:30;242;133
42118,0833333333;24/4/15 2:00;1,9219;598,75;;4/24/15 2:00;1,9228;599,25;;4/24/15 3:00;112;136
42118,1041666667;24/4/15 2:30;1,9255;600;;4/24/15 2:30;1,9267;600,75;;4/24/15 3:30;399;397
42118,125;24/4/15 3:00;1,9288;601,25;;4/24/15 3:00;1,93;601,5;;4/24/15 4:00;275;62
42118,1458333333;24/4/15 3:30;1,9343;602,25;;4/24/15 3:30;1,9356;603;;4/24/15 4:30;149;36
42118,1666666667;24/4/15 4:00;1,936;603,25;;4/24/15 4:00;1,937;603,5;;4/24/15 5:00;69;36
42118,1875;24/4/15 4:30;1,9335;602,5;;4/24/15 4:30;1,9345;603;;4/24/15 5:30;189;32
42118,2083333333;24/4/15 5:00;1,9342;603;;4/24/15 5:00;1,9351;603,5;;4/24/15 6:00;329;179
42118,2291666667;24/4/15 5:30;1,9322;602,25;;4/24/15 5:30;1,9333;602,75;;4/24/15 6:30;260;92
42118,25;24/4/15 6:00;1,9339;602,5;;4/24/15 6:00;1,9346;603;;4/24/15 7:00;497;26
42118,2708333333;24/4/15 6:30;1,9305;601,75;;4/24/15 6:30;1,9311;602,25;;4/24/15 7:30;1704;122
42118,2916666667;24/4/15 7:00;1,9294;601,25;;4/24/15 7:00;1,9305;601,75;;4/24/15 8:00;2192;151
42118,3125;24/4/15 7:30;1,9349;603,25;;4/24/15 7:30;1,9353;603,75;;4/24/15 8:30;5650;302
42118,3333333333;24/4/15 8:00;1,9351;603,5;;4/24/15 8:00;1,9355;604;;4/24/15 9:00;2762;88
42118,3541666667;24/4/15 8:30;1,92;599,25;;4/24/15 8:30;1,9204;599,75;;4/24/15 9:30;3629;97
42118,375;24/4/15 9:00;1,9271;601,25;;4/24/15 9:00;1,9278;601,5;;4/24/15 10:00;4444;108
42118,3958333333;24/4/15 9:30;1,9254;601;;4/24/15 9:30;1,926;601,5;;4/24/15 10:30;2876;1323
42118,4166666667;24/4/15 10:00;1,9234;600,75;;4/24/15 10:00;1,9239;601;;4/24/15 11:00;1826;148
42118,4375;24/4/15 10:30;1,9283;602,25;;4/24/15 10:30;1,9289;602,75;;4/24/15 11:30;1878;29
42118,4583333333;24/4/15 11:00;1,9294;602,5;;4/24/15 11:00;1,9299;603;;4/24/15 12:00;3148;36
42118,4791666667;24/4/15 11:30;1,9334;603,5;;4/24/15 11:30;1,934;604;;4/24/15 12:30;3812;10
42118,5;24/4/15 12:00;1,9301;602,25;;4/24/15 12:00;1,9305;602,75;;4/24/15 13:00;2626;147
42118,5208333333;24/4/15 12:30;1,9278;601,75;;4/24/15 12:30;1,9284;602,25;;4/24/15 13:30;6410;150
42118,5416666667;24/4/15 13:00;1,9186;599;;4/24/15 13:00;1,919;599,5;;4/24/15 14:00;2297;30
42118,5625;24/4/15 13:30;1,9321;603,25;;4/24/15 13:30;1,9324;603,75;;4/24/15 14:30;1955;10
42118,5833333333;24/4/15 14:00;1,9323;603,25;;4/24/15 14:00;1,9328;604;;4/24/15 15:00;292;10
42118,6041666667;24/4/15 14:30;1,9326;603,25;;4/24/15 14:30;1,9331;603,75;;4/24/15 15:30;408;10
42118,625;24/4/15 15:00;1,9326;603,25;;4/24/15 15:00;1,9333;603,75;;4/24/15 16:00;30;10
42118,6458333333;24/4/15 15:30;1,9333;603,25;;4/24/15 15:30;1,934;604;;4/24/15 16:30;39;8
42118,6666666667;24/4/15 16:00;1,9337;603,25;;4/24/15 16:00;1,9351;604,75;;4/24/15 17:00;39;8
42118,6875;24/4/15 16:30;1,9223;603;;4/24/15 16:30;1,95;604,75;;4/26/15 18:30;27;8
42118,7083333333;24/4/15 17:00;1,9223;603,5;;4/24/15;1,95;604,75;;4/26/15;7;8
42120,7708333333;26/4/15 18:30;1,9351;603,5;;4/26/15 18:30;1,936;604,75;;4/26/15 19:30;20;8
42120,7916666667;26/4/15 19:00;1,9364;604;;4/26/15 19:00;1,9373;604,75;;4/26/15 20:00;7;8
42120,8125;26/4/15 19:30;1,9341;603,5;;4/26/15 19:30;1,9354;604,75;;4/26/15 20:30;5;8
42120,8333333333;26/4/15 20:00;1,9333;603;;4/26/15 20:00;1,9341;604;;4/26/15 21:00;10;3
42120,8541666667;26/4/15 20:30;1,9338;603,5;;4/26/15 20:30;1,9353;604,5;;4/26/15 21:30;1;3
42120,875;26/4/15 21:00;1,9325;603,25;;4/26/15 21:00;1,9343;604;;4/26/15 22:00;48;28
42120,8958333333;26/4/15 21:30;1,9325;603,25;;4/26/15 21:30;1,9338;603,75;;4/26/15 22:30;9;1
42120,9166666667;26/4/15 22:00;1,9314;602;;4/26/15 22:00;1,9318;602,5;;4/26/15 23:00;57;1
42120,9375;26/4/15 22:30;1,9294;601,75;;4/26/15 22:30;1,93;602,5;;4/26/15 23:30;2;1
42120,9583333333;26/4/15 23:00;1,9261;600,5;;4/26/15 23:00;1,9273;601,5;;4/27/15 0:00;25;1
42120,9791666667;26/4/15 23:30;1,9261;600,75;;4/26/15 23:30;1,9274;601,25;;4/27/15 0:30;29;32
42121;27/4/15 0:00;1,9271;601,25;;4/27/15 0:00;1,928;601,75;;4/27/15 1:00;8;32
42121,0208333333;27/4/15 0:30;1,9285;601,5;;4/27/15 0:30;1,9295;602,25;;4/27/15 1:30;36;22
42121,0416666667;27/4/15 1:00;1,929;601,75;;4/27/15 1:00;1,9302;602,5;;4/27/15 2:00;60;5
42121,0625;27/4/15 1:30;1,9284;601,5;;4/27/15 1:30;1,9296;602,25;;4/27/15 2:30;90;5
42121,0833333333;27/4/15 2:00;1,9269;601,5;;4/27/15 2:00;1,9283;602;;4/27/15 3:00;53;10
42121,1041666667;27/4/15 2:30;1,9272;601,75;;4/27/15 2:30;1,9284;602,25;;4/27/15 3:30;84;10
42121,125;27/4/15 3:00;1,9313;603;;4/27/15 3:00;1,9323;603,5;;4/27/15 4:00;196;10
42121,1458333333;27/4/15 3:30;1,932;603,25;;4/27/15 3:30;1,9334;604;;4/27/15 4:30;372;271
42121,1666666667;27/4/15 4:00;1,9305;603,25;;4/27/15 4:00;1,9312;603,75;;4/27/15 5:00;157;112
42121,1875;27/4/15 4:30;1,9254;601,5;;4/27/15 4:30;1,9262;602;;4/27/15 5:30;118;435
42121,2083333333;27/4/15 5:00;1,9215;600,5;;4/27/15 5:00;1,9222;600,75;;4/27/15 6:00;234;24
42121,2291666667;27/4/15 5:30;1,9213;600,25;;4/27/15 5:30;1,922;600,75;;4/27/15 6:30;360;111
42121,25;27/4/15 6:00;1,9297;602,75;;4/27/15 6:00;1,9304;603,25;;4/27/15 7:00;223;9
42121,2708333333;27/4/15 6:30;1,9269;601,75;;4/27/15 6:30;1,9279;602,25;;4/27/15 7:30;464;62
42121,2916666667;27/4/15 7:00;1,9304;603;;4/27/15 7:00;1,9315;603,5;;4/27/15 8:00;1112;151
42121,3125;27/4/15 7:30;1,9293;602,5;;4/27/15 7:30;1,9299;603;;4/27/15 8:30;2645;82
42121,3333333333;27/4/15 8:00;1,9291;602,5;;4/27/15 8:00;1,9296;602,75;;4/27/15 9:00;3265;302
42121,3541666667;27/4/15 8:30;1,9366;604,75;;4/27/15 8:30;1,9369;605;;4/27/15 9:30;2552;158
42121,375;27/4/15 9:00;1,932;603,5;;4/27/15 9:00;1,9322;604;;4/27/15 10:00;3946;376
42121,3958333333;27/4/15 9:30;1,9261;602;;4/27/15 9:30;1,9266;602,25;;4/27/15 10:30;3330;723
42121,4166666667;27/4/15 10:00;1,9188;599,5;;4/27/15 10:00;1,9191;600;;4/27/15 11:00;2786;111
42121,4375;27/4/15 10:30;1,9232;601;;4/27/15 10:30;1,9235;601,25;;4/27/15 11:30;1570;176
42121,4583333333;27/4/15 11:00;1,9274;602;;4/27/15 11:00;1,9279;602,5;;4/27/15 12:00;1386;59
42121,4791666667;27/4/15 11:30;1,9322;603,5;;4/27/15 11:30;1,9326;604;;4/27/15 12:30;1643;137
42121,5;27/4/15 12:00;1,9329;603,25;;4/27/15 12:00;1,9334;603,75;;4/27/15 13:00;1775;77
42121,5208333333;27/4/15 12:30;1,9278;602;;4/27/15 12:30;1,9283;602,75;;4/27/15 13:30;7180;133
42121,5416666667;27/4/15 13:00;1,9216;600;;4/27/15 13:00;1,922;600,5;;4/27/15 14:00;1844;20
42121,5625;27/4/15 13:30;1,9259;601,5;;4/27/15 13:30;1,9263;602;;4/27/15 14:30;2090;5
42121,5833333333;27/4/15 14:00;1,9236;600,5;;4/27/15 14:00;1,9241;601;;4/27/15 15:00;875;49
42121,6041666667;27/4/15 14:30;1,9241;600,5;;4/27/15 14:30;1,9248;601,25;;4/27/15 15:30;402;2
42121,625;27/4/15 15:00;1,9218;600,25;;4/27/15 15:00;1,9229;600,75;;4/27/15 16:00;247;2
42121,6458333333;27/4/15 15:30;1,9215;600;;4/27/15 15:30;1,9224;600,75;;4/27/15 16:30;291;2
42121,6666666667;27/4/15 16:00;1,9178;599;;4/27/15 16:00;1,9194;600;;4/27/15 17:00;291;2
42121,6875;27/4/15 16:30;1,9154;600;;4/27/15 16:30;1,925;601;;4/27/15 17:30;38;2
42121,7083333333;27/4/15 17:00;1,924;599,75;;4/27/15;1,924;601,5;;4/27/15;21;2
42121,7291666667;27/4/15 17:30;1,9221;599,75;;4/27/15 17:30;1,9234;601,5;;4/27/15 19:30;29;2
42121,7708333333;27/4/15 18:30;1,9228;599,75;;4/27/15 18:30;1,9247;601,5;;4/27/15 20:00;22;2
42121,7916666667;27/4/15 19:00;1,9221;599,75;;4/27/15 19:00;1,9231;601,5;;4/27/15 20:30;24;2
42121,8125;27/4/15 19:30;1,9209;599,75;;4/27/15 19:30;1,9216;601,5;;4/27/15 21:00;221;2
42121,8333333333;27/4/15 20:00;1,9205;599,75;;4/27/15 20:00;1,921;601,5;;4/27/15 21:30;268;1
42121,8541666667;27/4/15 20:30;1,9185;598,75;;4/27/15 20:30;1,919;599,25;;4/27/15 22:00;59;1
42121,875;27/4/15 21:00;1,9101;596,5;;4/27/15 21:00;1,9109;597,25;;4/27/15 22:30;34;1
42121,8958333333;27/4/15 21:30;1,9116;596,5;;4/27/15 21:30;1,9123;597,25;;4/27/15 23:00;47;1
42121,9166666667;27/4/15 22:00;1,9108;596,25;;4/27/15 22:00;1,9119;597;;4/27/15 23:30;6;1
42121,9375;27/4/15 22:30;1,9101;596;;4/27/15 22:30;1,911;596,75;;4/28/15 0:00;17;1
42121,9583333333;27/4/15 23:00;1,9061;595,5;;4/27/15 23:00;1,9066;595,75;;4/28/15 0:30;12;1
42121,9791666667;27/4/15 23:30;1,9079;595,5;;4/27/15 23:30;1,9092;596,25;;4/28/15 1:00;53;5
42122;28/4/15 0:00;1,9085;595,5;;4/28/15 0:00;1,9094;596,75;;4/28/15 1:30;47;5
42122,0208333333;28/4/15 0:30;1,9075;595,5;;4/28/15 0:30;1,9083;596;;4/28/15 2:00;149;4
42122,0416666667;28/4/15 1:00;1,9107;596;;4/28/15 1:00;1,912;597,25;;4/28/15 2:30;260;203
